token,docIds
times,[1 2 3 4 5]
five,[1 2 3 4]
twelve,[1 2 3 4]
six,[1 2 4]
thirteen,[1 2 4]
seven,[1 2 3 4]
twenty,[1 2 3 4]
multiplication,[1]
signify,[1 4]
geography,[1]
london,[1 2 3 4]
capital,[1 4]
paris,[1 3]
rome,[1 2]
wrong,[1 3 4]
_how,[1 3]
doth,[1 2 3]
little_,[1]
crossed,[1 4]
hands,[1 2 3 4 5]
lap,[1 3]
repeat,[1 3 4]
sounded,[1 2]
hoarse,[1]
strange,[1 2 3 4 5]
crocodile,[1]
improve,[1 4 5]
his,[1 2 3 4 5]
shining,[1 3 5]
tail,[1]
pour,[1 2 4]
waters,[1 2 3]
nile,[1]
scale,[1 4]
cheerfully,[1 2 4]
seems,[1 2 3 4 5]
grin,[1 2]
neatly,[1]
spread,[1 2 3 4 5]
claws,[1]
welcome,[1 2 3 4]
fishes,[1 3]
gently,[1 5]
smiling,[1 2 4]
jaws,[1 2]
live,[1 2 3 4 5]
poky,[1]
toys,[1]
play,[1 2 3 4]
learn,[1 2 3 4 5]
stay,[1 2 3 4 5]
putting,[1 2 3 4]
being,[1 2 3 4]
till,[1 2 3 4 5]
sudden,[1 2 4]
burst,[1 2 3 4]
alone,[1 2 3 4 5]
_can_,[1]
done,[1 2 3 4 5]
measure,[1 2 3 4]
nearly,[1 2 3 4 5]
guess,[1 2 4 5]
shrinking,[1 3]
rapidly,[1 2 4]
cause,[1 2 3 4 5]
avoid,[1 2 3 4]
narrow,[1 2 3 4]
escape,[1 2 3 4 5]
frightened,[1 2 4]
change,[1 2 3 4 5]
existence,[1 2 3 4]
speed,[1 2 3 4]
worse,[1 2 3 4 5]
declare,[1 3 4 5]
bad,[1 3 4 5]
these,[1 2 3 4 5]
slipped,[1]
splash,[1]
chin,[1 4]
salt,[1 3 4 5]
water,[1 2 3 4]
somehow,[1 4]
sea,[1 2 3 4]
case,[1 2 3 4 5]
railway,[1]
seaside,[1]
general,[1 2 3 4 5]
conclusion,[1 2 4 5]
wherever,[1 3 4]
coast,[1 3]
number,[1 2 3 4 5]
bathing,[1 4]
machines,[1 2]
digging,[1]
sand,[1 3]
wooden,[1]
spades,[1]
lodging,[1 3]
houses,[1 2 3 4 5]
station,[1 2 4]
wept,[1 2 3]
hadn,[1]
swam,[1 3]
